COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Ecuador,ECU,AMRO,REPORTING,2/24/2023,39495110,15329151,223.856,86.885,14233323,80.674,,1/20/2021,4,7708466,43.691
Egypt,EGY,EMRO,REPORTING,5/21/2023,112673535,56907319,110.103,55.609,42337175,41.371,,1/24/2021,10,15217352,14.87
El Salvador,SLV,AMRO,REPORTING,6/2/2023,11426688,4656627,176.169,71.793,4393762,67.74,,2/17/2021,6,1898202,29.265
Equatorial Guinea,GNQ,AFRO,REPORTING,7/24/2022,488738,270109,34.836,19.252,214032,15.255,,2/12/2021,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,7/3/2022,,0,,0,0,0,,,,,
Estonia,EST,EURO,REPORTING,6/11/2023,2204676,845120,165.9,63.457,842153,63.234,,12/23/2020,9,487291,36.589
Eswatini,SWZ,AFRO,REPORTING,6/4/2023,870205,526050,75.007,45.343,427335,36.834,,3/19/2021,3,179450,15.468
Ethiopia,ETH,AFRO,REPORTING,5/28/2023,68856793,52489512,59.894,45.658,43653006,37.971,,3/13/2021,4,5978070,5.2
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,6/21/2022,9390,3220,269.595,92.449,2976,85.444,,,1,2543,73.012
Faroe Islands,FRO,EURO,OWID,2/18/2022,103894,41715,212.614,85.368,40895,83.69,,,2,21284,43.557
Fiji,FJI,WPRO,REPORTING,6/29/2023,1547226,712025,172.596,79.428,641194,71.526,,3/7/2021,3,172078,19.196
Finland,FIN,EURO,REPORTING,6/11/2023,13262633,4547390,240,81.961,4364869,78.671,,12/23/2020,5,3088223,55.661
France,FRA,EURO,REPORTING,6/11/2023,158038124,54676037,234.8,80.558,53187210,78.364,,12/23/2020,9,41038200,60.464
French Guiana,GUF,AMRO,REPORTING,6/2/2023,242193,100299,81.087,33.581,90464,30.288,,1/13/2021,3,46331,15.512
French Polynesia,PYF,WPRO,REPORTING,5/1/2023,480028,190908,170.884,67.961,186803,66.5,,1/18/2021,2,102317,36.424
Gabon,GAB,AFRO,REPORTING,2/5/2023,572672,311244,25.73,13.984,257471,11.568,,3/23/2021,3,2592,0.116
Gambia,GMB,AFRO,REPORTING,3/19/2023,1444492,674314,59.772,27.903,539186,22.311,,3/10/2021,2,53741,2.224
Georgia,GEO,EURO,REPORTING,4/16/2023,2738178,1300473,68.6,34.606,1186709,31.578,,3/17/2021,4,250996,6.679
Germany,DEU,EURO,REPORTING,6/11/2023,193234743,64867580,232.3,77.931,63564568,76.366,,12/23/2020,9,52142370,62.643
Ghana,GHA,AFRO,REPORTING,7/2/2023,25624828,13864186,82.467,44.618,10780003,34.693,,3/2/2021,2,4806017,15.467
Gibraltar,GIB,EURO,OWID,12/16/2022,132810,42175,394.2,125.182,41465,123.074,,,2,49170,145.944
Greece,GRC,EURO,REPORTING,6/11/2023,21983798,7916555,205.1,75.686,7744795,74.044,,12/23/2020,7,5902253,56.428
Greenland,GRL,EURO,OWID,3/14/2022,79738,41227,140.453,72.619,38511,67.834,,,1,,
Grenada,GRD,AMRO,REPORTING,6/2/2023,90686,44241,80.593,39.317,39034,34.69,,2/15/2021,5,7411,6.586
Guadeloupe,GLP,AMRO,REPORTING,6/2/2023,400129,152113,100.001,38.016,146098,36.513,,1/8/2021,7,89009,22.245
Guam,GUM,WPRO,REPORTING,1/31/2023,352698,135612,208.975,80.351,128788,76.308,,1/4/2021,3,83603,49.535
Guatemala,GTM,AMRO,REPORTING,6/2/2023,20370595,8935137,113.703,49.874,7127944,39.786,,2/25/2021,5,3719543,20.762
Guernsey,GGY,EURO,OWID,12/19/2022,178525,54223,276.92,84.108,52710,81.761,,,3,69339,107.556
Guinea,GIN,AFRO,REPORTING,4/2/2023,10645240,7679918,81.058,58.479,4725982,35.986,,3/5/2021,6,302545,2.304
Guinea-Bissau,GNB,AFRO,REPORTING,6/4/2023,825234,733271,41.933,37.26,533741,27.121,,4/2/2021,2,48801,2.48
Guyana,GUY,AMRO,REPORTING,6/2/2023,960133,495285,122.069,62.969,381984,48.564,,2/11/2021,7,77874,9.901
Haiti,HTI,AMRO,REPORTING,6/2/2023,664150,521396,5.825,4.573,350403,3.073,,,2,,
Honduras,HND,AMRO,REPORTING,6/2/2023,16901540,6485671,170.643,65.481,5751048,58.064,,2/22/2021,6,4665196,47.101
Hungary,HUN,EURO,REPORTING,6/11/2023,16570212,6358579,169.6,65.627,6151942,63.494,,12/23/2020,8,3868612,39.928
Iceland,ISL,EURO,REPORTING,4/16/2023,869976,307269,238.9,81.685,297921,79.182,,12/30/2020,5,254556,67.656
India,IND,SEARO,REPORTING,6/27/2023,2206737729,1025823823,159.908,74.335,952120865,68.994,,1/16/2021,8,228793041,16.579
Indonesia,IDN,SEARO,REPORTING,6/6/2023,447595845,203845350,163.641,74.526,174893201,63.941,,1/13/2021,7,68857294,25.174
Iran (Islamic Republic of),IRN,EMRO,REPORTING,8/15/2023,155445801,65194977,185.07,77.62,58582625,69.747,,2/9/2021,12,28576234,34.022
Iraq,IRQ,EMRO,REPORTING,1/2/2023,19557364,11332925,48.623,28.176,7944775,19.752,,3/2/2021,10,275280,0.684
Ireland,IRL,EURO,REPORTING,6/11/2023,12386942,4108479,249.5,83.893,4062803,80.292,,12/30/2020,5,3057548,60.426
Isle of Man,IMN,EURO,OWID,6/23/2022,189994,69560,223.438,81.804,67106,78.919,,,3,53328,62.715
Israel,ISR,EURO,REPORTING,6/5/2022,17915305,7055466,207,79.274,6385731,71.749,,12/16/2020,3,4474108,50.271
Italy,ITA,EURO,REPORTING,6/11/2023,150317622,50581051,252,85.691,49484229,83.829,,12/23/2020,9,44916242,76.09
Jamaica,JAM,AMRO,REPORTING,6/2/2023,1525895,858035,51.53,28.976,758800,25.625,,3/10/2021,6,45995,1.553
Japan,JPN,WPRO,REPORTING,9/5/2023,407284261,104737006,322.024,82.811,103417721,81.768,,2/17/2021,4,86588627,68.462
Jersey,JEY,EURO,OWID,1/29/2023,266953,84365,247.646,78.264,81882,75.96,,,3,73662,68.335
Jordan,JOR,EMRO,REPORTING,8/21/2022,10057975,4821579,98.577,47.256,4558313,44.676,,1/13/2021,10,682211,6.686
Kazakhstan,KAZ,EURO,REPORTING,4/30/2023,38355605,12443364,204.3,64.821,13070774,68.089,,4/7/2021,5,6801526,35.431
Kenya,KEN,AFRO,REPORTING,4/2/2023,23750431,14494372,44.169,26.956,11090440,20.625,,3/5/2021,5,2000636,3.721
Kiribati,KIR,WPRO,REPORTING,2/6/2023,219980,100900,184.162,84.471,81474,68.208,,5/26/2021,2,37606,31.483
Kosovo,XKX,EURO,REPORTING,1/15/2023,1836901,904558,,50.758,824752,46.279,,3/31/2021,2,105624,5.927
Kuwait,KWT,EMRO,REPORTING,9/10/2023,8261000,3457402,193.44,80.959,3346071,78.352,,12/28/2020,10,1457527,34.13
Kyrgyzstan,KGZ,EURO,REPORTING,5/14/2023,3132083,1516221,48,23.227,1332740,20.417,,3/31/2021,6,283122,4.337
Lao People's Democratic Republic,LAO,WPRO,REPORTING,5/21/2023,13879410,6324678,190.768,86.93,5691962,78.234,,11/25/2020,8,2451034,33.689
Latvia,LVA,EURO,REPORTING,6/11/2023,2979616,1344368,156.2,71.677,1304768,69.56,,12/30/2020,9,550859,29.367
Lebanon,LBN,EMRO,REPORTING,12/22/2022,5814699,2740227,85.192,40.147,2414223,35.371,,2/14/2021,10,660249,9.673
Lesotho,LSO,AFRO,REPORTING,3/19/2023,1339097,1014073,62.509,47.337,938088,43.79,,3/10/2021,3,177816,8.3
Liberia,LBR,AFRO,REPORTING,12/11/2022,4460668,3903802,88.196,77.186,3730967,73.768,,4/1/2021,1,1987,0.039
Libya,LBY,EMRO,REPORTING,1/16/2023,3739158,2316327,54.417,33.71,1236102,17.989,,4/11/2021,10,186729,2.718
Liechtenstein,LIE,OTHER,REPORTING,4/10/2022,71104,26681,183.5,68.86,26346,67.995,,1/6/2021,3,18310,47.255
Lithuania,LTU,EURO,REPORTING,6/11/2023,4532385,1956467,162.2,69.878,1907044,67.963,,12/23/2020,5,902046,32.147
Luxembourg,LUX,EURO,REPORTING,6/11/2023,1337797,469270,213.7,72.71,462702,71.693,,12/30/2020,8,368484,57.094
Madagascar,MDG,AFRO,REPORTING,7/30/2023,3092063,2710365,11.166,9.788,2628849,9.494,,5/10/2021,3,169187,0.611
Malawi,MWI,AFRO,REPORTING,7/2/2023,8359717,5368688,43.7,28.064,4223762,22.079,,3/11/2021,2,1154619,6.036
Malaysia,MYS,WPRO,REPORTING,8/27/2023,72505914,28088328,224.019,86.783,27502952,84.975,,2/24/2021,8,16309483,50.391
Maldives,MDV,SEARO,REPORTING,5/25/2023,951764,399308,176.075,73.872,385167,71.255,,2/1/2021,8,167289,30.948
Mali,MLI,AFRO,REPORTING,5/14/2023,5922585,4354292,29.246,21.502,3633589,17.943,,3/31/2021,1,,
Malta,MLT,EURO,REPORTING,6/11/2023,1280143,450522,248.8,86.477,444900,85.398,,12/23/2020,4,352633,67.688
Marshall Islands,MHL,WPRO,REPORTING,3/24/2023,110742,47077,187.083,79.53,40689,68.738,,12/29/2020,3,18559,31.353
Martinique,MTQ,AMRO,REPORTING,6/2/2023,401816,150795,107.075,40.184,145536,38.782,,,2,92919,24.761
Mauritania,MRT,AFRO,REPORTING,8/20/2023,4075704,2103721,87.656,45.245,1540533,33.132,,3/26/2021,2,383885,8.256
Mauritius,MUS,AFRO,REPORTING,7/30/2023,2616012,1123773,205.699,88.363,1088142,85.561,,1/26/2021,3,654507,51.464
Mexico,MEX,AMRO,REPORTING,6/2/2023,222226293,96727823,172.358,75.022,81346379,63.092,,12/24/2020,8,57014052,44.22
Micronesia (Federated States of),FSM,WPRO,REPORTING,3/28/2023,198749,83871,172.791,72.917,80910,70.342,,1/13/2021,4,30537,26.549
Monaco,MCO,EURO,REPORTING,12/4/2022,71027,25319,181,69.015,24933,67.963,,6/30/2021,7,17806,48.536
Mongolia,MNG,WPRO,REPORTING,3/17/2023,5668144,2284018,172.899,69.671,2185282,66.659,,2/23/2021,6,1058839,32.299
Montenegro,MNE,EURO,REPORTING,12/4/2022,523735,272152,83.4,43.346,251583,40.07,,2/24/2021,5,0,0
Montserrat,MSR,AMRO,REPORTING,6/2/2023,4619,2104,92.398,42.088,1952,39.048,,2/8/2021,2,563,11.262
Morocco,MAR,EMRO,REPORTING,5/14/2023,55389602,25020168,150.064,67.786,23521989,63.727,,1/28/2021,10,6884356,18.651
Mozambique,MOZ,AFRO,REPORTING,7/2/2023,34950858,22869646,111.823,73.17,21329745,68.243,,3/8/2021,3,2323562,7.434
Myanmar,MMR,SEARO,REPORTING,5/2/2023,89454913,40354937,164.41,74.169,35196377,64.688,,1/27/2021,2,13903599,25.553
Namibia,NAM,AFRO,REPORTING,7/30/2023,1002734,627107,39.464,24.68,548500,21.587,,3/19/2021,4,298560,11.75
Nauru,NRU,WPRO,REPORTING,2/20/2023,32157,13106,296.816,120.971,11346,104.726,,4/9/2021,2,7705,71.119
Nepal,NPL,SEARO,REPORTING,6/20/2023,62086946,27804935,213.088,95.429,24389063,83.705,,1/27/2021,8,9892948,33.953
Netherlands,NLD,EURO,REPORTING,9/11/2022,36105753,12776868,207.4,72.634,11957152,67.974,,1/6/2021,6,9417108,53.535
New Caledonia,NCL,WPRO,REPORTING,4/3/2023,480497,192371,168.301,67.381,184801,64.729,,1/20/2021,2,103325,36.191
